id,smishing
340000,0.000000000 0.0 0.0
340001,0.000000000 0.0 0.0
340002,0.000000000 0.0 0.0
340003,0.000000000 0.0 0.0
340004,0.000000000 0.0 0.0
340005,0.000000000 0.0 4e-05
340006,0.000000000 0.0 0.0
340007,0.000000000 0.0 0.0
340008,0.000000000 0.0 0.0
340009,0.000000000 0.0 0.0
340010,0.000000000 0.0 0.0
340011,0.000000000 0.0 0.0
340012,0.000000000 0.0 0.0
340013,0.000000000 0.0 0.0
340014,0.000000000 0.0 0.0
340015,0.000000000 0.0 0.0
340016,0.000000000 0.0 0.0
340017,0.000000000 0.0 0.0
340018,0.000000000 0.0 0.0
340019,0.000000000 0.0 0.0
340020,0.000000000 0.0 0.0
340021,0.000000000 0.0 0.0
340022,0.000000000 0.0 0.0
340023,0.000000000 0.0 0.0
340024,0.000000000 0.0 0.0
340025,0.000000000 0.0 0.0
340026,0.000000000 0.0 0.0
340027,0.000000000 0.0 0.0
340028,0.000000000 0.0 0.0
340029,0.000000000 0.0 0.0
340030,0.000000000 0.0 0.0
340031,0.000000000 0.0 1e-05
340032,0.000000000 0.0 3e-05
340033,0.000000000 0.0 0.0
340034,0.000000000 0.0 0.0
340035,0.000000000 0.0 0.0
340036,0.000000000 0.0 0.0
340037,0.000000000 0.0 0.0
340038,0.000000000 0.0 0.0
340039,0.000000000 0.0 0.0
340040,0.000000000 0.0 0.0
340041,0.000000000 0.0 0.0
340042,0.000000000 0.0 0.0
340043,0.000000000 0.0 0.0
340044,0.000000000 0.0 0.0
340045,0.000000000 0.0 0.0
340046,0.000000000 0.0 0.0
340047,0.000000000 0.0 0.0
340048,0.000000000 0.0 0.0
340049,0.000000000 0.0 0.0
340050,0.000000000 0.0 0.0
340051,0.000000000 0.0 0.0
340052,0.000000000 0.0 0.0
340053,0.000000000 0.0 0.0
340054,0.000000000 0.0 0.0
340055,0.000000000 0.0 0.0
340056,0.000000000 0.0 0.0
340057,0.000000000 0.0 0.00015
340058,0.000000000 0.0 0.0
340059,0.000000000 0.0 1e-05
340060,0.000000000 0.0 3e-05
340061,0.000000000 0.0 0.0
340062,0.000000000 0.0 0.0
340063,0.000000000 0.0 0.0
340064,0.000000000 0.0 0.0
340065,0.000000000 0.0 0.0
340066,0.000000000 0.0 0.0
340067,0.000000000 0.0 0.0
340068,0.000000000 0.0 0.0
340069,0.000000000 0.0 0.0
340070,0.000000000 0.0 0.0
340071,0.000000000 0.0 0.0
340072,0.000000000 0.0 0.0
340073,0.000000000 0.0 0.0
340074,0.000000000 0.0 0.0
340075,0.000000000 0.0 0.0
340076,0.000000000 0.0 3e-05
340077,0.000000000 0.0 0.0
340078,0.000000000 0.0 0.0
340079,0.000000000 0.0 0.0
340080,0.000000000 0.0 0.0
340081,0.000000000 0.0 0.0
340082,0.000000000 0.0 0.0
340083,0.000000000 0.0 0.0
340084,0.000000000 0.0 0.0
340085,0.000000000 0.0 0.0
340086,0.000006160 0.0 0.0
340087,0.000000000 0.0 1e-05
340088,0.000000000 0.0 0.0
340089,0.000000000 0.0 0.0
340090,0.000000000 0.0 0.0
340091,0.000000000 0.0 0.0
340092,0.000000000 0.0 0.0
340093,0.000000000 0.0 0.0
340094,0.000000000 0.0 0.0
340095,0.000000000 0.0 0.0
340096,0.000000000 0.0 0.0
340097,0.000000000 0.0 0.0
340098,0.000000000 0.0 0.0
340099,0.000000000 0.0 0.0
340100,0.000000000 0.0 0.0
340101,0.000000000 0.0 0.0
340102,0.000000000 0.0 0.0
340103,0.000000000 0.0 0.0
340104,0.000000000 0.0 0.0
340105,0.000000000 0.0 0.0
340106,0.000000000 0.0 0.0
340107,0.000000000 0.0 0.0
340108,0.000000000 0.0 0.0
340109,0.000000000 0.0 0.0
340110,0.000000000 0.0 0.0
340111,0.000000000 0.0 0.0
340112,0.000000000 0.0 0.0
340113,0.000000000 0.0 0.0
340114,0.000000000 0.0 0.0
340115,0.000000000 0.0 0.0
340116,0.000000000 0.0 1e-05
340117,0.000000000 0.0 0.0
340118,0.000000000 0.0 0.0
340119,0.000000000 0.0 0.0
340120,0.000000000 0.0 0.0
340121,0.000000000 0.0 0.0
340122,0.000000000 0.0 0.0
340123,0.000000000 0.0 0.0
340124,0.000000000 0.0 0.0
340125,0.000000000 0.0 0.0
340126,0.000000000 0.0 0.0
340127,0.000000000 0.0 0.0
340128,0.000000000 0.0 0.0
340129,0.000000000 0.0 0.0
340130,0.000000000 0.0 0.0
340131,0.000000000 0.0 0.0
340132,0.000000000 0.0 0.0
340133,0.000000000 0.0 0.0
340134,0.000000000 0.0 0.0
340135,0.000000000 0.0 0.0
340136,0.000000000 0.0 0.0
340137,0.000000000 0.0 0.0
340138,0.000000000 0.0 0.0
340139,0.000000000 0.0 0.0
340140,0.000000000 0.0 2e-05
340141,0.000000000 0.0 0.0
340142,0.000000000 0.0 0.0
340143,0.000000000 0.0 0.0
340144,0.000000000 0.0 0.0
340145,0.000000000 0.0 0.00012
340146,0.000000000 0.0 0.0
340147,0.000000000 0.0 0.0
340148,0.000000000 0.0 0.0
340149,0.000000000 0.0 0.0
340150,0.000000000 0.0 0.0
340151,0.000000000 0.0 0.0
340152,0.000000000 0.0 0.0
340153,0.000000000 0.0 4e-05
340154,0.000000000 0.0 0.0
340155,0.000000000 0.0 0.0
340156,0.000000000 0.0 0.0
340157,0.000000000 0.0 0.0
340158,0.000000000 0.0 0.0
340159,0.000000000 0.0 0.0
340160,0.000000000 0.0 0.0
340161,0.000000000 0.0 0.0
340162,0.000000000 0.0 0.0
340163,0.000000000 0.0 0.0
340164,0.000000000 0.0 0.0
340165,0.000000000 0.0 0.0
340166,0.000000000 0.0 0.0
340167,0.000000000 0.0 0.0
340168,0.000000000 0.0 0.0
340169,0.000000000 0.0 0.0
340170,0.000000000 0.0 0.0
340171,0.000000000 0.0 0.0
340172,0.000000000 0.0 0.0
340173,0.000000000 0.0 0.0
340174,0.000000000 0.0 0.0
340175,0.000000000 0.0 0.0
340176,0.000000000 0.0 0.0
340177,0.000000000 0.0 0.0
340178,0.000000000 0.0 0.0
340179,0.000000000 0.0 0.0
340180,0.000000000 0.0 0.0
340181,0.000000000 0.0 0.0
340182,0.000000000 0.0 0.0
340183,0.000000000 0.0 0.0
340184,0.000000000 0.0 1e-05
340185,0.000000000 0.0 0.0
340186,0.000000000 0.0 0.0
340187,0.000000000 0.0 0.0
340188,0.000000000 0.0 0.0
340189,0.000000000 0.0 0.0
340190,0.000000000 0.0 0.0
340191,0.000000000 0.0 0.0
340192,0.000000000 0.0 0.0
340193,0.000000000 0.0 0.0
340194,0.000000000 0.0 0.0
340195,0.000000000 0.0 0.0
340196,0.000000000 0.0 0.0
340197,0.000000000 0.0 0.0
340198,0.000000000 0.0 0.0
340199,0.000000000 0.0 0.0
340200,0.000000000 0.0 0.0
340201,0.000000000 0.0 0.0
340202,0.000000000 0.0 0.0
340203,0.000000000 0.0 0.0
340204,0.000000000 0.0 0.0
340205,0.000000000 0.0 0.0
340206,0.000000000 0.0 0.0
340207,0.000000000 0.0 0.0
340208,0.000000000 0.0 0.0
340209,0.000000000 0.0 0.0
340210,0.000000000 0.0 0.0
340211,0.000000000 0.0 0.0
340212,0.000000000 0.0 0.0
340213,0.000000000 0.0 0.0
340214,0.000000000 0.0 0.0
340215,0.000000000 0.0 1e-05
340216,0.000000000 0.0 0.0
340217,0.000000000 0.0 0.0
340218,0.000000000 0.0 0.0
340219,0.000000000 0.0 0.0
340220,0.000000000 0.0 0.0
340221,0.000000000 0.0 0.0
340222,0.000000000 0.0 0.0
340223,0.000000000 0.0 0.0
340224,0.000000000 0.0 0.0
340225,0.000000000 0.0 1e-05
340226,0.000000000 0.0 0.0
340227,0.000000000 0.0 0.0
340228,0.000000000 0.0 0.0
340229,0.000000000 0.0 0.0
340230,0.000000000 0.0 0.0
340231,0.000000000 0.0 0.0
340232,0.000000000 0.0 0.0
340233,0.000000000 0.0 0.0
340234,0.000000000 0.0 0.0
340235,0.000000000 0.0 0.0
340236,0.000000000 0.0 0.0
340237,0.000000000 0.0 0.0
340238,0.000000000 0.0 0.0
340239,0.000000000 0.0 0.0
340240,0.000000000 0.0 0.0
340241,0.000000000 0.0 0.0
340242,0.000000000 0.0 0.0
340243,0.000000000 0.0 0.0
340244,0.000000000 0.0 2e-05
340245,0.000000000 0.0 0.0
340246,0.000000000 0.0 0.0
340247,0.000000000 0.0 0.0
340248,0.000000000 0.0 0.0
340249,0.000000000 0.0 2e-05
340250,0.000000000 0.0 2e-05
340251,0.000000000 0.0 3e-05
340252,0.000000000 0.0 0.0
340253,0.000000000 0.0 0.0
340254,0.000000000 0.0 0.0
340255,0.000000000 0.0 0.0
340256,0.000000000 0.0 0.0
340257,0.000000000 0.0 0.0
340258,0.000000000 0.0 0.0
340259,0.000000000 0.0 0.0
340260,0.000000000 0.0 0.0
340261,1.000000000 0.0 0.0
340262,0.000000000 0.0 0.0
340263,1.000000000 0.0 0.0
340264,0.000000000 0.0 0.0
340265,0.000000000 0.0 0.0
340266,0.000000000 0.0 0.0
340267,0.000000000 0.0 0.0
340268,0.000000000 0.0 0.0
340269,0.000000000 0.0 0.0
340270,0.000000000 0.0 0.0
340271,0.000000000 0.0 0.0
340272,0.000000000 0.0 0.0
340273,0.000000000 0.0 0.0
340274,0.000000000 0.0 0.0
340275,0.966314323 0.0 0.0
340276,0.966314323 0.0 0.0
340277,0.000000000 0.0 0.0
340278,0.000000000 0.0 0.0
340279,0.000000000 0.0 0.0
340280,0.000000000 0.0 0.0
340281,0.000000000 0.0 0.0
340282,0.977860714 0.0 0.0
340283,0.000000000 0.0 0.0
340284,0.000000000 0.0 0.0
340285,1.000000000 0.0 0.0
340286,0.000000000 0.0 0.0
340287,0.000000000 0.0 0.0
340288,1.000000000 0.0 0.0
340289,0.000000000 0.0 0.0
340290,0.000000000 0.0 0.0
340291,0.000000000 0.0 0.0
340292,0.000000000 0.0 0.0
340293,0.000000000 0.0 0.0
340294,0.000000000 0.0 0.0
340295,0.000000000 0.0 0.0
340296,0.000000000 0.0 0.0
340297,1.000000000 0.0 0.0
340298,0.000000000 0.0 0.0
340299,0.000000000 0.0 0.0
340300,0.000000000 0.0 0.0
340301,0.000000000 0.0 0.0
340302,0.000000000 0.0 0.0
340303,0.000000000 0.0 0.0
340304,0.000000000 0.0 0.0
340305,0.000000000 0.0 0.0
340306,0.000000000 0.0 0.0
340307,0.000000000 0.0 0.0
340308,0.000000000 0.0 0.0
340309,0.000000000 0.0 0.0
340310,0.000000000 0.0 0.0
340311,0.000000000 0.0 0.0
340312,0.000000000 0.0 0.0
340313,0.000000000 0.0 1e-05
340314,0.000000000 0.0 0.0
340315,0.000000000 0.0 0.0
340316,0.000000000 0.0 0.0
340317,0.000000000 0.0 0.0
340318,0.000000000 0.0 0.0
340319,0.000000000 0.0 0.0
340320,0.000000000 0.0 0.0
340321,0.000000000 0.0 0.0
340322,0.000000000 0.0 0.0
340323,0.000000000 0.0 0.00016
340324,0.000000000 0.0 0.0
340325,0.000000000 0.0 0.0
340326,0.000000000 0.0 0.0
340327,0.000000000 0.0 0.0
340328,0.000000000 0.0 0.0
340329,0.000000000 0.0 0.0
340330,0.000000000 0.0 1e-05
340331,0.000000000 0.0 0.0
340332,0.000000000 0.0 0.0
340333,0.000000000 0.0 0.0
340334,0.000000000 0.0 0.0
340335,0.000000000 0.0 6e-05
340336,0.000000000 0.0 0.0
340337,0.000000000 0.0 0.0
340338,0.000000000 0.0 0.0
340339,0.000000000 0.0 0.0
340340,0.000000000 0.0 0.0
340341,0.000000000 0.0 0.0
340342,0.000000000 0.0 0.0
340343,0.000000000 0.0 0.0
340344,0.000000000 0.0 0.0
340345,1.000000000 0.0 0.0
340346,0.000000000 0.0 0.0
340347,0.000000000 0.0 0.0
340348,0.000000000 0.0 0.0
340349,0.000000000 0.0 0.0
340350,0.000000000 0.0 0.0
340351,0.000000000 0.0 0.0
340352,0.000000000 0.0 0.0
340353,0.000000000 0.0 0.0
340354,0.000000000 0.0 0.0
340355,0.000000000 0.0 0.0
340356,0.000000000 0.0 0.0
340357,0.000000000 0.0 0.0
340358,0.000000000 0.0 8e-05
340359,0.000000000 0.0 0.0
340360,0.000000000 0.0 0.0
340361,0.000000004 0.0 0.0
340362,0.000000000 0.0 0.0
340363,0.000000000 0.0 0.0
340364,0.000000000 0.0 0.0
340365,0.000000000 0.0 0.0
340366,0.000000000 0.0 0.0
340367,0.000000000 0.0 0.0
340368,0.000000000 0.0 0.0
340369,0.000000000 0.0 0.0
340370,1.000000000 0.0 0.0
340371,0.000000000 0.0 0.0
340372,1.000000000 0.0 0.0
340373,0.000000000 0.0 0.0
340374,0.000000000 0.0 0.0
340375,0.000000000 0.0 0.0
340376,0.000000000 0.0 0.0
340377,0.000000000 0.0 0.0
340378,0.000000000 0.0 0.0
340379,0.000000000 0.0 0.0
340380,0.000000000 0.0 0.0
340381,0.000000000 0.0 0.0
340382,0.000000000 0.0 0.0
340383,0.000000000 0.0 0.0
340384,0.000000000 0.0 0.0
340385,0.000000000 0.0 0.0
